k,x,mind,final,cagr,mdd,qld3,qld5,dotcom
10,5.0,0,102.12639390690819,18.965246353140387,-49.031491096100844,42.340067340067336,47.88602941176471,-21.830520925959362
10,5.0,1,102.12639390690819,18.965246353140387,-49.031491096100844,42.340067340067336,47.88602941176471,-21.830520925959362
10,5.0,2,112.63268879356472,19.40334387233673,-46.62278130284805,40.48821548821549,48.4375,-17.618838080170253
10,5.0,3,127.87641344229283,19.973640878089995,-46.62278130284804,37.121212121212125,48.529411764705884,-5.3994080558453454
10,5.0,4,132.64275432196186,20.138565476446367,-46.62278130284805,43.18181818181818,48.62132352941176,-5.3994080558453454
10,5.0,5,133.10884932608081,20.154385874796677,-46.62278130284804,42.17171717171717,48.62132352941176,-5.3994080558453454
10,5.0,6,130.0329818925674,20.048982636949454,-46.62278130284804,42.08754208754209,48.62132352941176,-5.3994080558453454
10,5.0,7,138.68221531691165,20.339536284164538,-46.62278130284804,42.676767676767675,55.33088235294118,-5.3994080558453454
10,5.0,8,136.2959677762649,20.26115680000622,-46.62278130284804,42.676767676767675,55.33088235294118,-5.3994080558453454
10,5.0,9,155.9074124047605,20.869581394966975,-46.62278130284802,44.36026936026936,55.33088235294118,-5.3994080558453454
10,5.0,10,155.9074124047605,20.869581394966975,-46.62278130284802,44.36026936026936,55.33088235294118,-5.3994080558453454
10,5.0,11,153.8477280487594,20.8092553926839,-46.62278130284807,44.19191919191919,54.87132352941176,-5.3994080558453454
10,5.0,12,152.27188422082403,20.76257338532057,-46.62278130284804,44.19191919191919,54.779411764705884,-5.3994080558453454
10,5.0,13,150.15546344056398,20.69914061196789,-46.62278130284804,44.107744107744104,54.779411764705884,-5.3994080558453454
10,5.0,14,150.05438412094418,20.696089603161273,-46.62278130284805,44.107744107744104,54.779411764705884,-5.3994080558453454
10,5.0,15,147.65058446046123,20.622943604653532,-46.62278130284804,44.107744107744104,54.779411764705884,-5.3994080558453454
10,5.0,16,150.46165896705546,20.708370861491687,-46.62278130284806,44.19191919191919,54.87132352941176,-5.3994080558453454
10,5.0,18,135.63408613875453,20.23918239837752,-46.62278130284804,43.51851851851852,54.50367647058824,-5.3994080558453454
